Start,Finish,Steps (count)
18/03/2018 22:00,18/03/2018 23:00,70.65957199
18/03/2018 23:00,19/03/2018 0:00,7.34042801
19/03/2018 0:00,19/03/2018 1:00,0
19/03/2018 1:00,19/03/2018 2:00,0
19/03/2018 2:00,19/03/2018 3:00,0
19/03/2018 3:00,19/03/2018 4:00,0
19/03/2018 4:00,19/03/2018 5:00,0
19/03/2018 5:00,19/03/2018 6:00,0
19/03/2018 6:00,19/03/2018 7:00,0
19/03/2018 7:00,19/03/2018 8:00,0
19/03/2018 8:00,19/03/2018 9:00,0
19/03/2018 9:00,19/03/2018 10:00,0
19/03/2018 10:00,19/03/2018 11:00,0
19/03/2018 11:00,19/03/2018 12:00,0
19/03/2018 12:00,19/03/2018 13:00,0
19/03/2018 13:00,19/03/2018 14:00,138
19/03/2018 14:00,19/03/2018 15:00,62
19/03/2018 15:00,19/03/2018 16:00,0
19/03/2018 16:00,19/03/2018 17:00,540
19/03/2018 17:00,19/03/2018 18:00,642.1783636
19/03/2018 18:00,19/03/2018 19:00,203.1058077
19/03/2018 19:00,19/03/2018 20:00,10.71582864
19/03/2018 20:00,19/03/2018 21:00,202.6035798
19/03/2018 21:00,19/03/2018 22:00,56.56237271
19/03/2018 22:00,19/03/2018 23:00,56.83404747
19/03/2018 23:00,20/03/2018 0:00,76
20/03/2018 0:00,20/03/2018 1:00,0
20/03/2018 1:00,20/03/2018 2:00,0
20/03/2018 2:00,20/03/2018 3:00,0
20/03/2018 3:00,20/03/2018 4:00,0
20/03/2018 4:00,20/03/2018 5:00,0
20/03/2018 5:00,20/03/2018 6:00,0
20/03/2018 6:00,20/03/2018 7:00,0
20/03/2018 7:00,20/03/2018 8:00,0
20/03/2018 8:00,20/03/2018 9:00,0
20/03/2018 9:00,20/03/2018 10:00,0
20/03/2018 10:00,20/03/2018 11:00,615
20/03/2018 11:00,20/03/2018 12:00,0
20/03/2018 12:00,20/03/2018 13:00,853.0624298
20/03/2018 13:00,20/03/2018 14:00,154.2953477
20/03/2018 14:00,20/03/2018 15:00,358.5529657
20/03/2018 15:00,20/03/2018 16:00,785.0892568
20/03/2018 16:00,20/03/2018 17:00,323.8011555
20/03/2018 17:00,20/03/2018 18:00,1408.198844
20/03/2018 18:00,20/03/2018 19:00,958
20/03/2018 19:00,20/03/2018 20:00,0
20/03/2018 20:00,20/03/2018 21:00,0
20/03/2018 21:00,20/03/2018 22:00,0
20/03/2018 22:00,20/03/2018 23:00,0
20/03/2018 23:00,21/03/2018 0:00,0
21/03/2018 0:00,21/03/2018 1:00,0
21/03/2018 1:00,21/03/2018 2:00,0
21/03/2018 2:00,21/03/2018 3:00,0
21/03/2018 3:00,21/03/2018 4:00,0
21/03/2018 4:00,21/03/2018 5:00,0
21/03/2018 5:00,21/03/2018 6:00,0
21/03/2018 6:00,21/03/2018 7:00,0
21/03/2018 7:00,21/03/2018 8:00,0
21/03/2018 8:00,21/03/2018 9:00,736.0026332
21/03/2018 9:00,21/03/2018 10:00,200.9960552
21/03/2018 10:00,21/03/2018 11:00,701.0013117
21/03/2018 11:00,21/03/2018 12:00,1053.078296
21/03/2018 12:00,21/03/2018 13:00,358.9217041
21/03/2018 13:00,21/03/2018 14:00,856.1955044
21/03/2018 14:00,21/03/2018 15:00,334.8044956
21/03/2018 15:00,21/03/2018 16:00,195
21/03/2018 16:00,21/03/2018 17:00,123
21/03/2018 17:00,21/03/2018 18:00,449
21/03/2018 18:00,21/03/2018 19:00,98.758348
21/03/2018 19:00,21/03/2018 20:00,61.241652
21/03/2018 20:00,21/03/2018 21:00,0
21/03/2018 21:00,21/03/2018 22:00,0
21/03/2018 22:00,21/03/2018 23:00,0
21/03/2018 23:00,22/03/2018 0:00,0
22/03/2018 0:00,22/03/2018 1:00,0
22/03/2018 1:00,22/03/2018 2:00,0
22/03/2018 2:00,22/03/2018 3:00,0
22/03/2018 3:00,22/03/2018 4:00,0
22/03/2018 4:00,22/03/2018 5:00,0
22/03/2018 5:00,22/03/2018 6:00,0
22/03/2018 6:00,22/03/2018 7:00,0
22/03/2018 7:00,22/03/2018 8:00,0
22/03/2018 8:00,22/03/2018 9:00,18
22/03/2018 9:00,22/03/2018 10:00,619
22/03/2018 10:00,22/03/2018 11:00,0
22/03/2018 11:00,22/03/2018 12:00,81.8999547
22/03/2018 12:00,22/03/2018 13:00,550.1000453
22/03/2018 13:00,22/03/2018 14:00,885.8283713
22/03/2018 14:00,22/03/2018 15:00,687.9490512
22/03/2018 15:00,22/03/2018 16:00,790.2225775
22/03/2018 16:00,22/03/2018 17:00,391.4247459
22/03/2018 17:00,22/03/2018 18:00,2438.575254
22/03/2018 18:00,22/03/2018 19:00,310.6291682
22/03/2018 19:00,22/03/2018 20:00,188.3708318
22/03/2018 20:00,22/03/2018 21:00,0
22/03/2018 21:00,22/03/2018 22:00,0
22/03/2018 22:00,22/03/2018 23:00,0
22/03/2018 23:00,23/03/2018 0:00,0
23/03/2018 0:00,23/03/2018 1:00,0
23/03/2018 1:00,23/03/2018 2:00,0
23/03/2018 2:00,23/03/2018 3:00,0
23/03/2018 3:00,23/03/2018 4:00,0
23/03/2018 4:00,23/03/2018 5:00,0
23/03/2018 5:00,23/03/2018 6:00,0
23/03/2018 6:00,23/03/2018 7:00,0
23/03/2018 7:00,23/03/2018 8:00,0
23/03/2018 8:00,23/03/2018 9:00,0
23/03/2018 9:00,23/03/2018 10:00,267
23/03/2018 10:00,23/03/2018 11:00,587.5253133
23/03/2018 11:00,23/03/2018 12:00,1311.474687
23/03/2018 12:00,23/03/2018 13:00,1713.207899
23/03/2018 13:00,23/03/2018 14:00,840.7921012
23/03/2018 14:00,23/03/2018 15:00,63.92465292
23/03/2018 15:00,23/03/2018 16:00,584.1015916
23/03/2018 16:00,23/03/2018 17:00,1596.829111
23/03/2018 17:00,23/03/2018 18:00,18.3317761
23/03/2018 18:00,23/03/2018 19:00,1057.430268
23/03/2018 19:00,23/03/2018 20:00,57.38260044
23/03/2018 20:00,23/03/2018 21:00,0
23/03/2018 21:00,23/03/2018 22:00,0
23/03/2018 22:00,23/03/2018 23:00,0
23/03/2018 23:00,24/03/2018 0:00,0
24/03/2018 0:00,24/03/2018 1:00,0
24/03/2018 1:00,24/03/2018 2:00,0
24/03/2018 2:00,24/03/2018 3:00,50.1384439
24/03/2018 3:00,24/03/2018 4:00,64.8615561
24/03/2018 4:00,24/03/2018 5:00,0
24/03/2018 5:00,24/03/2018 6:00,0
24/03/2018 6:00,24/03/2018 7:00,0
24/03/2018 7:00,24/03/2018 8:00,0
24/03/2018 8:00,24/03/2018 9:00,0
24/03/2018 9:00,24/03/2018 10:00,0
24/03/2018 10:00,24/03/2018 11:00,0
24/03/2018 11:00,24/03/2018 12:00,0
24/03/2018 12:00,24/03/2018 13:00,177.3004138
24/03/2018 13:00,24/03/2018 14:00,1613.699586
24/03/2018 14:00,24/03/2018 15:00,304
24/03/2018 15:00,24/03/2018 16:00,481.020513
24/03/2018 16:00,24/03/2018 17:00,889.979487
24/03/2018 17:00,24/03/2018 18:00,68
24/03/2018 18:00,24/03/2018 19:00,0
24/03/2018 19:00,24/03/2018 20:00,18
24/03/2018 20:00,24/03/2018 21:00,40
24/03/2018 21:00,24/03/2018 22:00,0
24/03/2018 22:00,24/03/2018 23:00,17
24/03/2018 23:00,25/03/2018 0:00,104.4191577
25/03/2018 0:00,25/03/2018 1:00,261.5545054
25/03/2018 1:00,25/03/2018 2:00,7.026336922
25/03/2018 2:00,25/03/2018 3:00,0
25/03/2018 3:00,25/03/2018 4:00,0
25/03/2018 4:00,25/03/2018 5:00,0
25/03/2018 5:00,25/03/2018 6:00,0
25/03/2018 6:00,25/03/2018 7:00,0
25/03/2018 7:00,25/03/2018 8:00,0
25/03/2018 8:00,25/03/2018 9:00,0
25/03/2018 9:00,25/03/2018 10:00,0
25/03/2018 10:00,25/03/2018 11:00,0
25/03/2018 11:00,25/03/2018 12:00,150.3293182
25/03/2018 12:00,25/03/2018 13:00,196.6706818
25/03/2018 13:00,25/03/2018 14:00,967.6619977
25/03/2018 14:00,25/03/2018 15:00,536.3380023
25/03/2018 15:00,25/03/2018 16:00,17
25/03/2018 16:00,25/03/2018 17:00,398
25/03/2018 17:00,25/03/2018 18:00,307.2069833
25/03/2018 18:00,25/03/2018 19:00,26.79301665
25/03/2018 19:00,25/03/2018 20:00,16
25/03/2018 20:00,25/03/2018 21:00,248
25/03/2018 21:00,25/03/2018 22:00,191
25/03/2018 22:00,25/03/2018 23:00,20
25/03/2018 23:00,26/03/2018 0:00,0
26/03/2018 0:00,26/03/2018 1:00,0
26/03/2018 1:00,26/03/2018 2:00,0
26/03/2018 2:00,26/03/2018 3:00,0
26/03/2018 3:00,26/03/2018 4:00,0
26/03/2018 4:00,26/03/2018 5:00,0
26/03/2018 5:00,26/03/2018 6:00,0
26/03/2018 6:00,26/03/2018 7:00,0
26/03/2018 7:00,26/03/2018 8:00,0
26/03/2018 8:00,26/03/2018 9:00,0
26/03/2018 9:00,26/03/2018 10:00,290.346757
26/03/2018 10:00,26/03/2018 11:00,629.4448969
26/03/2018 11:00,26/03/2018 12:00,312.2083461
26/03/2018 12:00,26/03/2018 13:00,2193
26/03/2018 13:00,26/03/2018 14:00,1960
26/03/2018 14:00,26/03/2018 15:00,596.9124866
26/03/2018 15:00,26/03/2018 16:00,1144.087513
26/03/2018 16:00,26/03/2018 17:00,207
26/03/2018 17:00,26/03/2018 18:00,8
26/03/2018 18:00,26/03/2018 19:00,0
26/03/2018 19:00,26/03/2018 20:00,40.04657902
26/03/2018 20:00,26/03/2018 21:00,544.5461617
26/03/2018 21:00,26/03/2018 22:00,768.4072592
26/03/2018 22:00,26/03/2018 23:00,0
26/03/2018 23:00,27/03/2018 0:00,0
27/03/2018 0:00,27/03/2018 1:00,0
27/03/2018 1:00,27/03/2018 2:00,0
27/03/2018 2:00,27/03/2018 3:00,0
27/03/2018 3:00,27/03/2018 4:00,0
27/03/2018 4:00,27/03/2018 5:00,0
27/03/2018 5:00,27/03/2018 6:00,0
27/03/2018 6:00,27/03/2018 7:00,0
27/03/2018 7:00,27/03/2018 8:00,0
27/03/2018 8:00,27/03/2018 9:00,0
27/03/2018 9:00,27/03/2018 10:00,0
27/03/2018 10:00,27/03/2018 11:00,0
27/03/2018 11:00,27/03/2018 12:00,0
27/03/2018 12:00,27/03/2018 13:00,936.2404403
27/03/2018 13:00,27/03/2018 14:00,917.4508818
27/03/2018 14:00,27/03/2018 15:00,1212.329068
27/03/2018 15:00,27/03/2018 16:00,342.9796097
27/03/2018 16:00,27/03/2018 17:00,1210.494654
27/03/2018 17:00,27/03/2018 18:00,440.5053461
27/03/2018 18:00,27/03/2018 19:00,601.0551445
27/03/2018 19:00,27/03/2018 20:00,1848.801208
27/03/2018 20:00,27/03/2018 21:00,584.1436475
27/03/2018 21:00,27/03/2018 22:00,595
27/03/2018 22:00,27/03/2018 23:00,0
27/03/2018 23:00,28/03/2018 0:00,0
28/03/2018 0:00,28/03/2018 1:00,1040
28/03/2018 1:00,28/03/2018 2:00,605
28/03/2018 2:00,28/03/2018 3:00,412.8446254
28/03/2018 3:00,28/03/2018 4:00,202.1553746
28/03/2018 4:00,28/03/2018 5:00,16.96727923
28/03/2018 5:00,28/03/2018 6:00,4.032720768
28/03/2018 6:00,28/03/2018 7:00,0
28/03/2018 7:00,28/03/2018 8:00,103.3356251
28/03/2018 8:00,28/03/2018 9:00,760.3603622
28/03/2018 9:00,28/03/2018 10:00,423.3040127
28/03/2018 10:00,28/03/2018 11:00,40
28/03/2018 11:00,28/03/2018 12:00,0
28/03/2018 12:00,28/03/2018 13:00,0
28/03/2018 13:00,28/03/2018 14:00,0
28/03/2018 14:00,28/03/2018 15:00,48.22210706
28/03/2018 15:00,28/03/2018 16:00,99.77789294
28/03/2018 16:00,28/03/2018 17:00,121.8306989
28/03/2018 17:00,28/03/2018 18:00,626.4437955
28/03/2018 18:00,28/03/2018 19:00,1616.725506
28/03/2018 19:00,28/03/2018 20:00,1494.831905
28/03/2018 20:00,28/03/2018 21:00,3310.168095
28/03/2018 21:00,28/03/2018 22:00,434.1460559
